name,count,animal,year,location
BERTIE,6,0,"2017",Toronto
BIG BOY,6,0,"2017",Toronto
BILLIE,6,0,"2017",Toronto
BIRDIE,6,0,"2017",Toronto
BLACK JACK,6,0,"2017",Toronto
BLACKBERRY,6,0,"2017",Toronto
BOBBI,6,0,"2017",Toronto
BOOBOO,6,0,"2017",Toronto
BOOTSY,6,0,"2017",Toronto
BROOKLYN,6,0,"2017",Toronto
BUZZ,6,0,"2017",Toronto
CAESAR,6,0,"2017",Toronto
CALLY,6,0,"2017",Toronto
CANDY,6,0,"2017",Toronto
CHAI,6,0,"2017",Toronto
CHARCOAL,6,0,"2017",Toronto
CHEDDAR,6,0,"2017",Toronto
CHEEKA,6,0,"2017",Toronto
CHIP,6,0,"2017",Toronto
CICI,6,0,"2017",Toronto
CINDERELLA,6,0,"2017",Toronto
COCONUT,6,0,"2017",Toronto
CORA,6,0,"2017",Toronto
COTTON,6,0,"2017",Toronto
DALLAS,6,0,"2017",Toronto
DANTE,6,0,"2017",Toronto
DECLAWED,6,0,"2017",Toronto
DIESEL,6,0,"2017",Toronto
ELLIOTT,6,0,"2017",Toronto
EMBER,6,0,"2017",Toronto
ETHEL,6,0,"2017",Toronto
FINNIGAN,6,0,"2017",Toronto
FOX,6,0,"2017",Toronto
FROSTY,6,0,"2017",Toronto
GATO,6,0,"2017",Toronto
GINA,6,0,"2017",Toronto
HARRISON,6,0,"2017",Toronto
HARVEY,6,0,"2017",Toronto
HOMER,6,0,"2017",Toronto
HUDSON,6,0,"2017",Toronto
ISAAC,6,0,"2017",Toronto
IVAN,6,0,"2017",Toronto
JEFF,6,0,"2017",Toronto
JJ,6,0,"2017",Toronto
JULIET,6,0,"2017",Toronto
JUNIPER,6,0,"2017",Toronto
KALLIE,6,0,"2017",Toronto
KATE,6,0,"2017",Toronto
KATY,6,0,"2017",Toronto
KIARA,6,0,"2017",Toronto
KIRBY,6,0,"2017",Toronto
KISMET,6,0,"2017",Toronto
LALA,6,0,"2017",Toronto
LAYLA,6,0,"2017",Toronto
LEAH,6,0,"2017",Toronto
LEELA,6,0,"2017",Toronto
LEELOO,6,0,"2017",Toronto
LIGHTNING,6,0,"2017",Toronto
LILO,6,0,"2017",Toronto
LINDA,6,0,"2017",Toronto
LINK,6,0,"2017",Toronto
LISA,6,0,"2017",Toronto
LUCA,6,0,"2017",Toronto
MACEY,6,0,"2017",Toronto
MACY,6,0,"2017",Toronto
MADDIE,6,0,"2017",Toronto
MADISON,6,0,"2017",Toronto
MARVIN,6,0,"2017",Toronto
MAXIE,6,0,"2017",Toronto
MEOW,6,0,"2017",Toronto
MERCEDES,6,0,"2017",Toronto
MIMO,6,0,"2017",Toronto
MISCHA,6,0,"2017",Toronto
MISS KITTY,6,0,"2017",Toronto
MONICA,6,0,"2017",Toronto
MOSES,6,0,"2017",Toronto
NICKI,6,0,"2017",Toronto
NINO,6,0,"2017",Toronto
OLAF,6,0,"2017",Toronto
OPHELIA,6,0,"2017",Toronto
PANSY,6,0,"2017",Toronto
PATCHY,6,0,"2017",Toronto
PAUL,6,0,"2017",Toronto
PEACH,6,0,"2017",Toronto
PEEKABOO,6,0,"2017",Toronto
PEGGY,6,0,"2017",Toronto
PEPSI,6,0,"2017",Toronto
PHOENIX,6,0,"2017",Toronto
PICKLE,6,0,"2017",Toronto
PLUTO,6,0,"2017",Toronto
POOKIE,6,0,"2017",Toronto
PORTIA,6,0,"2017",Toronto
ROXIE,6,0,"2017",Toronto
SAMMIE,6,0,"2017",Toronto
SHEENA,6,0,"2017",Toronto
SKYE,6,0,"2017",Toronto
SMOKY,6,0,"2017",Toronto
SNEAKERS,6,0,"2017",Toronto
SPICE,6,0,"2017",Toronto
SQUEAKY,6,0,"2017",Toronto
SQUIRT,6,0,"2017",Toronto
STEVE,6,0,"2017",Toronto
STRIPES,6,0,"2017",Toronto
TANGO,6,0,"2017",Toronto
TIFFANY,6,0,"2017",Toronto
TIKA,6,0,"2017",Toronto
